Airport Code,Slot ID,Date & Time,Airline,Requested Time,Slot Type,Slot Priority
RHO,RHO-SLOT-1,2025-07-09 07:30,Airline 2,08:00,Departure,Business Slot
RHO,RHO-SLOT-2,2025-07-20 22:30,Airline 1,23:30,Arrival,Grandfather Rights
RHO,RHO-SLOT-3,2025-07-15 17:30,Airline 1,17:00,Arrival,New Entrant
RHO,RHO-SLOT-4,2025-07-06 09:00,Airline 2,09:30,Departure,Business Slot
RHO,RHO-SLOT-5,2025-07-30 21:30,Airline 7,22:00,Arrival,Business Slot
RHO,RHO-SLOT-6,2025-07-20 21:00,Airline 4,20:30,Departure,New Entrant
RHO,RHO-SLOT-7,2025-07-07 06:00,Airline 17,06:00,Arrival,Grandfather Rights
RHO,RHO-SLOT-8,2025-07-30 22:00,Airline 7,22:00,Arrival,Grandfather Rights
RHO,RHO-SLOT-9,2025-07-05 07:30,Airline 1,07:00,Departure,New Entrant
RHO,RHO-SLOT-10,2025-07-09 08:00,Airline 4,09:00,Arrival,Grandfather Rights
RHO,RHO-SLOT-11,2025-07-04 09:00,Airline 8,08:30,Departure,Business Slot
RHO,RHO-SLOT-12,2025-07-01 12:30,Airline 16,13:30,Departure,Business Slot
RHO,RHO-SLOT-13,2025-07-08 19:30,Airline 17,19:30,Arrival,New Entrant
RHO,RHO-SLOT-14,2025-07-12 11:30,Airline 16,11:00,Arrival,Grandfather Rights
RHO,RHO-SLOT-15,2025-07-15 17:30,Airline 12,17:30,Departure,Business Slot
RHO,RHO-SLOT-16,2025-07-06 19:00,Airline 1,19:30,Departure,New Entrant
RHO,RHO-SLOT-17,2025-07-16 17:30,Airline 10,17:30,Departure,New Entrant
RHO,RHO-SLOT-18,2025-07-18 20:30,Airline 11,21:00,Arrival,Business Slot
RHO,RHO-SLOT-19,2025-07-10 14:00,Airline 7,15:00,Departure,Business Slot
RHO,RHO-SLOT-20,2025-07-31 16:00,Airline 11,17:00,Departure,Grandfather Rights
RHO,RHO-SLOT-21,2025-07-16 11:00,Airline 16,11:00,Arrival,Business Slot
RHO,RHO-SLOT-22,2025-07-06 07:30,Airline 2,07:00,Arrival,New Entrant
RHO,RHO-SLOT-23,2025-07-31 07:00,Airline 18,06:30,Departure,New Entrant
RHO,RHO-SLOT-24,2025-07-23 10:00,Airline 14,09:30,Arrival,New Entrant
RHO,RHO-SLOT-25,2025-07-03 12:00,Airline 13,12:00,Departure,Grandfather Rights
RHO,RHO-SLOT-26,2025-07-31 18:00,Airline 12,18:00,Departure,Business Slot
RHO,RHO-SLOT-27,2025-07-25 17:30,Airline 9,18:00,Arrival,Grandfather Rights
RHO,RHO-SLOT-28,2025-07-08 08:00,Airline 17,09:00,Arrival,Grandfather Rights
RHO,RHO-SLOT-29,2025-07-13 22:00,Airline 9,23:00,Arrival,Grandfather Rights
RHO,RHO-SLOT-30,2025-07-18 17:00,Airline 19,16:30,Arrival,Business Slot
RHO,RHO-SLOT-31,2025-07-02 08:00,Airline 2,08:30,Departure,Grandfather Rights
RHO,RHO-SLOT-32,2025-07-21 20:00,Airline 5,20:00,Arrival,Grandfather Rights
RHO,RHO-SLOT-33,2025-07-22 11:30,Airline 13,12:30,Arrival,New Entrant
RHO,RHO-SLOT-34,2025-07-01 17:00,Airline 8,16:30,Departure,Grandfather Rights
RHO,RHO-SLOT-35,2025-07-09 11:30,Airline 16,11:00,Arrival,Business Slot
RHO,RHO-SLOT-36,2025-07-07 20:30,Airline 11,20:30,Arrival,New Entrant
RHO,RHO-SLOT-37,2025-07-24 18:30,Airline 12,18:00,Departure,Business Slot
RHO,RHO-SLOT-38,2025-07-04 13:30,Airline 11,14:30,Arrival,Business Slot
RHO,RHO-SLOT-39,2025-07-15 12:30,Airline 17,12:30,Departure,Business Slot
RHO,RHO-SLOT-40,2025-07-29 14:30,Airline 18,15:30,Departure,Business Slot
RHO,RHO-SLOT-41,2025-07-13 07:00,Airline 14,06:30,Departure,Business Slot
RHO,RHO-SLOT-42,2025-07-11 09:30,Airline 7,09:30,Arrival,Business Slot
RHO,RHO-SLOT-43,2025-07-17 14:30,Airline 10,14:00,Arrival,Business Slot
RHO,RHO-SLOT-44,2025-07-21 19:30,Airline 5,19:30,Departure,Grandfather Rights
RHO,RHO-SLOT-45,2025-07-06 08:30,Airline 18,09:30,Arrival,Business Slot
RHO,RHO-SLOT-46,2025-07-19 14:00,Airline 5,13:30,Departure,Grandfather Rights
RHO,RHO-SLOT-47,2025-07-13 11:30,Airline 13,12:00,Arrival,Grandfather Rights
RHO,RHO-SLOT-48,2025-07-09 20:00,Airline 9,21:00,Arrival,Grandfather Rights
RHO,RHO-SLOT-49,2025-07-20 12:30,Airline 14,13:30,Arrival,New Entrant
RHO,RHO-SLOT-50,2025-07-29 19:00,Airline 19,18:30,Departure,Grandfather Rights
RHO,RHO-SLOT-51,2025-07-04 21:00,Airline 4,20:30,Departure,Business Slot
RHO,RHO-SLOT-52,2025-07-15 09:00,Airline 13,09:30,Departure,Business Slot
RHO,RHO-SLOT-53,2025-07-09 20:30,Airline 20,20:30,Departure,Business Slot
RHO,RHO-SLOT-54,2025-07-28 15:00,Airline 14,14:30,Departure,New Entrant
RHO,RHO-SLOT-55,2025-07-08 14:30,Airline 7,15:00,Departure,Grandfather Rights
RHO,RHO-SLOT-56,2025-07-03 22:00,Airline 17,21:30,Departure,New Entrant
RHO,RHO-SLOT-57,2025-07-11 15:30,Airline 11,16:30,Arrival,New Entrant
RHO,RHO-SLOT-58,2025-07-12 10:30,Airline 1,10:30,Departure,New Entrant
RHO,RHO-SLOT-59,2025-07-11 10:00,Airline 18,10:30,Departure,New Entrant
RHO,RHO-SLOT-60,2025-07-02 14:00,Airline 3,13:30,Departure,Business Slot
RHO,RHO-SLOT-61,2025-07-10 17:30,Airline 19,18:30,Arrival,New Entrant
RHO,RHO-SLOT-62,2025-07-31 16:30,Airline 9,17:00,Arrival,Grandfather Rights
RHO,RHO-SLOT-63,2025-07-25 12:30,Airline 9,12:00,Arrival,Grandfather Rights
RHO,RHO-SLOT-64,2025-07-17 11:30,Airline 19,11:30,Arrival,Business Slot
RHO,RHO-SLOT-65,2025-07-23 14:30,Airline 5,14:00,Arrival,Business Slot
RHO,RHO-SLOT-66,2025-07-11 08:30,Airline 7,09:30,Arrival,New Entrant
RHO,RHO-SLOT-67,2025-07-25 06:00,Airline 17,06:30,Departure,Grandfather Rights
RHO,RHO-SLOT-68,2025-07-27 17:30,Airline 13,17:00,Departure,New Entrant
RHO,RHO-SLOT-69,2025-07-11 09:00,Airline 4,10:00,Departure,Business Slot
RHO,RHO-SLOT-70,2025-07-23 17:30,Airline 10,17:00,Departure,New Entrant
RHO,RHO-SLOT-71,2025-07-01 16:30,Airline 14,17:00,Arrival,Grandfather Rights
RHO,RHO-SLOT-72,2025-07-18 10:00,Airline 14,10:00,Departure,Grandfather Rights
RHO,RHO-SLOT-73,2025-07-15 10:00,Airline 16,11:00,Departure,Business Slot
RHO,RHO-SLOT-74,2025-07-19 08:00,Airline 15,07:30,Departure,Business Slot
RHO,RHO-SLOT-75,2025-07-01 16:30,Airline 2,17:00,Departure,New Entrant
RHO,RHO-SLOT-76,2025-07-05 06:00,Airline 9,07:00,Arrival,Grandfather Rights
RHO,RHO-SLOT-77,2025-07-11 12:00,Airline 6,13:00,Departure,New Entrant
RHO,RHO-SLOT-78,2025-07-12 11:30,Airline 14,11:30,Departure,Business Slot
RHO,RHO-SLOT-79,2025-07-10 17:30,Airline 20,18:00,Arrival,Grandfather Rights
RHO,RHO-SLOT-80,2025-07-02 16:30,Airline 5,16:00,Departure,Grandfather Rights
RHO,RHO-SLOT-81,2025-07-28 16:30,Airline 16,17:00,Departure,Business Slot
RHO,RHO-SLOT-82,2025-07-15 14:30,Airline 8,15:00,Departure,Business Slot
RHO,RHO-SLOT-83,2025-07-28 07:00,Airline 9,07:00,Departure,Business Slot
RHO,RHO-SLOT-84,2025-07-17 22:00,Airline 4,21:30,Arrival,New Entrant
RHO,RHO-SLOT-85,2025-07-29 09:00,Airline 5,10:00,Departure,Business Slot
RHO,RHO-SLOT-86,2025-07-02 14:30,Airline 17,14:00,Departure,Business Slot
RHO,RHO-SLOT-87,2025-07-11 07:30,Airline 20,07:00,Arrival,New Entrant
RHO,RHO-SLOT-88,2025-07-28 18:30,Airline 3,18:30,Arrival,Business Slot
RHO,RHO-SLOT-89,2025-07-16 19:00,Airline 12,19:30,Arrival,Grandfather Rights
RHO,RHO-SLOT-90,2025-07-17 15:00,Airline 4,15:00,Arrival,Business Slot
RHO,RHO-SLOT-91,2025-07-30 07:00,Airline 19,07:00,Arrival,Grandfather Rights
RHO,RHO-SLOT-92,2025-07-11 06:30,Airline 16,07:30,Arrival,Business Slot
RHO,RHO-SLOT-93,2025-07-11 19:00,Airline 12,19:00,Departure,New Entrant
RHO,RHO-SLOT-94,2025-07-21 14:30,Airline 13,14:00,Arrival,Grandfather Rights
RHO,RHO-SLOT-95,2025-07-26 22:30,Airline 9,22:00,Departure,New Entrant
RHO,RHO-SLOT-96,2025-07-15 09:00,Airline 4,10:00,Departure,Grandfather Rights
RHO,RHO-SLOT-97,2025-07-02 15:30,Airline 14,16:30,Departure,Business Slot
RHO,RHO-SLOT-98,2025-07-02 17:00,Airline 6,18:00,Departure,Grandfather Rights
RHO,RHO-SLOT-99,2025-07-16 09:30,Airline 16,10:30,Departure,Business Slot
RHO,RHO-SLOT-100,2025-07-09 13:30,Airline 15,13:30,Departure,Grandfather Rights
RHO,RHO-SLOT-101,2025-07-25 21:30,Airline 4,21:30,Arrival,Grandfather Rights
RHO,RHO-SLOT-102,2025-07-25 21:00,Airline 7,22:00,Arrival,New Entrant
RHO,RHO-SLOT-103,2025-07-28 22:30,Airline 6,23:30,Arrival,Grandfather Rights
RHO,RHO-SLOT-104,2025-07-18 19:00,Airline 20,18:30,Arrival,Grandfather Rights
RHO,RHO-SLOT-105,2025-07-26 19:00,Airline 12,20:00,Arrival,Business Slot
RHO,RHO-SLOT-106,2025-07-12 11:30,Airline 19,12:30,Arrival,Grandfather Rights
RHO,RHO-SLOT-107,2025-07-24 11:00,Airline 15,11:30,Arrival,Business Slot
RHO,RHO-SLOT-108,2025-07-29 20:30,Airline 15,21:00,Arrival,New Entrant
RHO,RHO-SLOT-109,2025-07-29 22:30,Airline 20,23:30,Arrival,New Entrant
RHO,RHO-SLOT-110,2025-07-04 20:00,Airline 19,19:30,Arrival,Business Slot
RHO,RHO-SLOT-111,2025-07-16 07:00,Airline 18,07:30,Arrival,Grandfather Rights
RHO,RHO-SLOT-112,2025-07-01 13:00,Airline 20,12:30,Departure,Grandfather Rights
RHO,RHO-SLOT-113,2025-07-10 09:30,Airline 12,09:30,Departure,Grandfather Rights
RHO,RHO-SLOT-114,2025-07-14 11:30,Airline 4,11:00,Departure,Grandfather Rights
RHO,RHO-SLOT-115,2025-07-25 07:30,Airline 19,07:00,Arrival,Business Slot
RHO,RHO-SLOT-116,2025-07-21 10:00,Airline 20,09:30,Departure,Business Slot
RHO,RHO-SLOT-117,2025-07-25 21:00,Airline 9,20:30,Arrival,New Entrant
RHO,RHO-SLOT-118,2025-07-01 21:30,Airline 19,21:30,Departure,Business Slot
RHO,RHO-SLOT-119,2025-07-23 17:00,Airline 1,16:30,Arrival,Grandfather Rights
RHO,RHO-SLOT-120,2025-07-29 14:30,Airline 14,14:00,Arrival,Grandfather Rights
RHO,RHO-SLOT-121,2025-07-26 13:30,Airline 14,14:00,Departure,New Entrant
RHO,RHO-SLOT-122,2025-07-14 13:00,Airline 5,12:30,Departure,Grandfather Rights
RHO,RHO-SLOT-123,2025-07-17 07:00,Airline 5,08:00,Arrival,Grandfather Rights
RHO,RHO-SLOT-124,2025-07-01 14:30,Airline 19,15:00,Departure,Business Slot
RHO,RHO-SLOT-125,2025-07-08 12:30,Airline 13,13:30,Departure,New Entrant
RHO,RHO-SLOT-126,2025-07-25 14:00,Airline 10,14:00,Arrival,Grandfather Rights
RHO,RHO-SLOT-127,2025-07-16 10:30,Airline 15,11:00,Arrival,Business Slot
RHO,RHO-SLOT-128,2025-07-23 08:00,Airline 15,08:00,Arrival,Grandfather Rights
RHO,RHO-SLOT-129,2025-07-19 22:30,Airline 8,22:00,Departure,New Entrant
RHO,RHO-SLOT-130,2025-07-02 20:30,Airline 1,20:00,Departure,New Entrant
RHO,RHO-SLOT-131,2025-07-08 15:30,Airline 14,15:00,Arrival,New Entrant
RHO,RHO-SLOT-132,2025-07-02 17:30,Airline 13,17:00,Arrival,New Entrant
RHO,RHO-SLOT-133,2025-07-10 19:00,Airline 20,20:00,Departure,Business Slot
RHO,RHO-SLOT-134,2025-07-06 19:30,Airline 11,20:00,Arrival,New Entrant
RHO,RHO-SLOT-135,2025-07-28 18:30,Airline 18,19:00,Departure,Business Slot
RHO,RHO-SLOT-136,2025-07-18 21:30,Airline 5,21:30,Departure,Grandfather Rights
RHO,RHO-SLOT-137,2025-07-15 09:30,Airline 6,09:30,Arrival,New Entrant
RHO,RHO-SLOT-138,2025-07-27 11:30,Airline 9,11:30,Departure,Business Slot
RHO,RHO-SLOT-139,2025-07-21 07:30,Airline 13,07:00,Departure,Grandfather Rights
RHO,RHO-SLOT-140,2025-07-11 10:00,Airline 15,10:00,Departure,New Entrant
RHO,RHO-SLOT-141,2025-07-13 20:30,Airline 6,21:30,Departure,Business Slot
RHO,RHO-SLOT-142,2025-07-04 08:30,Airline 14,08:00,Departure,New Entrant
RHO,RHO-SLOT-143,2025-07-25 17:30,Airline 4,17:30,Arrival,Grandfather Rights
RHO,RHO-SLOT-144,2025-07-08 20:00,Airline 14,19:30,Departure,New Entrant
RHO,RHO-SLOT-145,2025-07-05 18:30,Airline 3,18:30,Arrival,New Entrant
RHO,RHO-SLOT-146,2025-07-25 15:30,Airline 4,16:00,Departure,New Entrant
RHO,RHO-SLOT-147,2025-07-20 10:30,Airline 10,11:30,Departure,Grandfather Rights
RHO,RHO-SLOT-148,2025-07-25 06:00,Airline 9,07:00,Departure,Grandfather Rights
RHO,RHO-SLOT-149,2025-07-06 16:00,Airline 10,15:30,Arrival,Grandfather Rights
RHO,RHO-SLOT-150,2025-07-13 06:30,Airline 10,06:30,Departure,Grandfather Rights
RHO,RHO-SLOT-151,2025-07-08 09:00,Airline 16,10:00,Arrival,Business Slot
RHO,RHO-SLOT-152,2025-07-14 13:30,Airline 9,14:30,Arrival,New Entrant
RHO,RHO-SLOT-153,2025-07-10 09:30,Airline 11,10:00,Departure,New Entrant
RHO,RHO-SLOT-154,2025-07-22 11:30,Airline 17,12:30,Arrival,Grandfather Rights
RHO,RHO-SLOT-155,2025-07-31 13:30,Airline 14,13:30,Arrival,Grandfather Rights
RHO,RHO-SLOT-156,2025-07-23 18:30,Airline 13,18:30,Departure,Grandfather Rights
RHO,RHO-SLOT-157,2025-07-16 16:00,Airline 16,15:30,Departure,Business Slot
RHO,RHO-SLOT-158,2025-07-20 07:00,Airline 9,07:30,Departure,Grandfather Rights
RHO,RHO-SLOT-159,2025-07-23 21:30,Airline 5,22:00,Arrival,Business Slot
RHO,RHO-SLOT-160,2025-07-11 15:00,Airline 15,14:30,Arrival,Business Slot
RHO,RHO-SLOT-161,2025-07-24 07:30,Airline 19,08:30,Departure,New Entrant
RHO,RHO-SLOT-162,2025-07-13 10:30,Airline 10,11:00,Departure,Grandfather Rights
RHO,RHO-SLOT-163,2025-07-10 14:30,Airline 8,15:30,Arrival,Grandfather Rights
RHO,RHO-SLOT-164,2025-07-23 17:00,Airline 2,16:30,Arrival,Grandfather Rights
RHO,RHO-SLOT-165,2025-07-02 07:00,Airline 15,06:30,Departure,New Entrant
RHO,RHO-SLOT-166,2025-07-30 07:00,Airline 2,07:30,Arrival,Grandfather Rights
RHO,RHO-SLOT-167,2025-07-15 13:30,Airline 19,14:00,Arrival,New Entrant
RHO,RHO-SLOT-168,2025-07-24 11:30,Airline 17,11:00,Arrival,New Entrant
RHO,RHO-SLOT-169,2025-07-26 21:00,Airline 20,21:00,Arrival,Grandfather Rights
RHO,RHO-SLOT-170,2025-07-14 07:30,Airline 4,08:00,Departure,Grandfather Rights
RHO,RHO-SLOT-171,2025-07-06 20:00,Airline 9,21:00,Arrival,Grandfather Rights
RHO,RHO-SLOT-172,2025-07-28 17:30,Airline 1,18:30,Departure,Business Slot
RHO,RHO-SLOT-173,2025-07-18 19:30,Airline 4,20:00,Arrival,New Entrant
RHO,RHO-SLOT-174,2025-07-15 22:00,Airline 19,22:00,Departure,Grandfather Rights
RHO,RHO-SLOT-175,2025-07-25 09:30,Airline 19,10:30,Departure,Grandfather Rights
RHO,RHO-SLOT-176,2025-07-26 07:30,Airline 16,07:30,Arrival,Grandfather Rights
RHO,RHO-SLOT-177,2025-07-03 10:00,Airline 5,10:00,Arrival,New Entrant
RHO,RHO-SLOT-178,2025-07-10 06:30,Airline 9,07:00,Departure,New Entrant
RHO,RHO-SLOT-179,2025-07-13 10:30,Airline 16,11:00,Arrival,Grandfather Rights
RHO,RHO-SLOT-180,2025-07-10 18:30,Airline 16,18:30,Arrival,Business Slot
RHO,RHO-SLOT-181,2025-07-10 13:00,Airline 2,13:00,Departure,Grandfather Rights
RHO,RHO-SLOT-182,2025-07-10 16:30,Airline 3,17:30,Arrival,Grandfather Rights
RHO,RHO-SLOT-183,2025-07-03 11:30,Airline 17,11:00,Arrival,Business Slot
RHO,RHO-SLOT-184,2025-07-24 18:00,Airline 4,18:30,Arrival,Grandfather Rights
RHO,RHO-SLOT-185,2025-07-26 18:30,Airline 17,18:30,Departure,Business Slot
RHO,RHO-SLOT-186,2025-07-27 17:00,Airline 16,18:00,Departure,Grandfather Rights
RHO,RHO-SLOT-187,2025-07-06 11:00,Airline 15,12:00,Departure,Business Slot
RHO,RHO-SLOT-188,2025-07-19 10:30,Airline 6,11:00,Departure,Grandfather Rights
RHO,RHO-SLOT-189,2025-07-20 17:00,Airline 3,17:00,Departure,Grandfather Rights
RHO,RHO-SLOT-190,2025-07-12 06:30,Airline 16,07:00,Arrival,Business Slot
RHO,RHO-SLOT-191,2025-07-22 18:30,Airline 17,18:30,Arrival,New Entrant
RHO,RHO-SLOT-192,2025-07-03 11:30,Airline 4,12:00,Arrival,New Entrant
RHO,RHO-SLOT-193,2025-07-07 11:30,Airline 11,12:00,Departure,Business Slot
RHO,RHO-SLOT-194,2025-07-13 06:30,Airline 19,07:00,Arrival,Grandfather Rights
RHO,RHO-SLOT-195,2025-07-10 21:30,Airline 8,22:00,Arrival,Business Slot
RHO,RHO-SLOT-196,2025-07-17 17:00,Airline 18,16:30,Departure,New Entrant
RHO,RHO-SLOT-197,2025-07-26 08:30,Airline 7,08:30,Departure,Grandfather Rights
RHO,RHO-SLOT-198,2025-07-19 06:30,Airline 6,06:00,Arrival,Business Slot
RHO,RHO-SLOT-199,2025-07-18 18:00,Airline 10,19:00,Arrival,Business Slot
RHO,RHO-SLOT-200,2025-07-26 20:00,Airline 10,19:30,Departure,Business Slot
